Designator,Footprint,Quantity,Value,LCSC Part #
"_26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,26,,
"C1, C11, C12, C15, C2, C3, C4, C5, C6, C7, C8",0603,11,0.1u,
"C10, C9",CP_Radial_D5.0mm_P2.00mm,2,3.3u,
"C13, C14",0603,2,1u,
"D1, D2",0603,2,LED,
"D3, D4",CUHS20S40H3F,2,CUHS20S30,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,12,Conn_01x02_Pin,
J13,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Socket,
"J14, J15, J16, J17",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,4,Conn_01x04_Pin,
"J18, J19",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
PS1,MCWI0312S15,1,MCWI03-12S05,
"R1, R10, R11, R12, R13, R15, R2, R3, R4, R5, R6, R8, R9",0805,13,10k,
"R14, R7",0603,2,Opt,
"R16, R17, R18, R19",0603,4,3.3k,
"U1, U2",TQFP-32_7x7mm_P0.8mm,2,ATmega328P-A,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ADuM1250,
U4,SOT-89-3,1,NJM78L05SU3,
"Y1, Y2",CSTCE16M0V53R0,2,CSTCE16M0V53-R0,
