Designator,Mid X,Mid Y,Rotation,Layer
_26,51.6,97.0,0.0,top
_25,9.75,7.65,0.0,top
_24,9.75,117.55,0.0,top
_23,80.25,119.35,0.0,top
_22,9.75,4.95,0.0,top
_21,80.25,3.15,0.0,top
_20,46.5,75.0,0.0,top
_19,9.75,6.75,0.0,top
_18,9.75,5.85,0.0,top
_17,80.25,6.75,0.0,top
_16,80.25,116.65,0.0,top
_15,9.75,119.35,0.0,top
_14,9.75,114.85,0.0,top
_13,80.25,5.85,0.0,top
_12,9.75,115.75,0.0,top
_11,9.75,118.45,0.0,top
_10,80.25,118.45,0.0,top
_9,80.25,115.75,0.0,top
_8,9.75,3.15,0.0,top
_7,9.75,4.05,0.0,top
_6,80.25,4.05,0.0,top
_5,80.25,4.95,0.0,top
_4,80.25,7.65,0.0,top
_3,80.25,117.55,0.0,top
_2,9.75,116.65,0.0,top
,80.25,114.85,0.0,top
C1,31.6,35.175,90.0,bottom
C10,62.1,92.744887,90.0,top
C11,41.225,71.0,180.0,top
C12,52.075,71.0,0.0,top
C13,30.275,79.2,0.0,top
C14,34.4,76.625,270.0,top
C15,19.3,33.275,90.0,top
C2,33.2,33.575,90.0,bottom
C3,34.8,32.775,90.0,bottom
C4,36.4,34.375,90.0,bottom
C5,60.4,34.375,90.0,bottom
C6,55.6,35.175,90.0,bottom
C7,57.2,33.575,90.0,bottom
C8,58.8,32.775,90.0,bottom
C9,34.0,93.5,180.0,top
D1,26.1,36.7875,90.0,top
D2,50.1,36.7875,90.0,top
D3,34.0,101.55,90.0,top
D4,31.55,82.5,0.0,top
J1,39.3,19.95,0.0,top
J10,50.8,50.05,180.0,top
J11,48.3,19.95,0.0,top
J12,57.3,19.95,0.0,top
J13,14.0,46.2,0.0,top
J14,70.0,35.5,90.0,top
J15,28.5,102.5,180.0,top
J16,47.0,102.5,180.0,top
J17,70.5,86.6,90.0,top
J18,71.2,29.1,90.0,top
J19,71.2,25.2,90.0,top
J2,41.8,50.05,180.0,top
J3,32.8,50.05,180.0,top
J4,23.8,50.05,180.0,top
J5,21.3,19.95,0.0,top
J6,30.3,19.95,0.0,top
J7,66.3,19.95,0.0,top
J8,68.8,50.05,180.0,top
J9,59.8,50.05,180.0,top
PS1,38.6,86.075,0.0,top
R1,39.3,16.05,90.0,bottom
R10,59.8,53.95,270.0,bottom
R11,50.8,53.95,270.0,bottom
R12,48.3,16.05,90.0,bottom
R13,57.3,16.05,90.0,bottom
R14,48.5,36.75,90.0,top
R15,21.1,33.45,270.0,top
R16,38.4,73.5,270.0,top
R17,36.8,73.5,270.0,top
R18,74.5,80.425,90.0,top
R19,72.9,80.425,90.0,top
R2,41.8,53.95,270.0,bottom
R3,32.8,53.95,270.0,bottom
R4,23.8,53.95,270.0,bottom
R5,21.3,16.05,90.0,bottom
R6,30.3,16.05,90.0,bottom
R7,24.4,36.75,90.0,top
R8,66.3,16.05,90.0,bottom
R9,68.8,53.95,270.0,bottom
U1,34.0,34.0,0.0,top
U2,58.0,34.0,0.0,top
U3,46.525,69.095,0.0,top
U4,31.0,75.45,270.0,top
Y1,26.9,31.05,270.0,top
Y2,50.9,31.05,270.0,top
