Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7, C8, C9",0603,8,0.1u,
C10,CP_Elec_6.3x5.4_Nichicon,1,470u,
C2,0603,1,10u,
D1,D_SOD-323_HandSoldering,1,UDZV5.1B,
D2,0603,1,LED_R,
D3,0603,1,LED_G,
D4,SOT-23,1,NUP2105L,
D5,CUHS20S40H3F,1,CUHS20S30,
J1,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Socket,
"J2, J3, J5",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,3,Conn_01x02_Pin,
J4,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin,
Q1,SOT-23,1,AO3401A,
"R1, R2",0603,2,3.3k,
"R10, R3, R7, R9",0603,4,10k,
"R4, R5",0603,2,Opt,
R6,0603,1,120,
R8,0603,1,15k,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
U4,SOT-223-3_TabPin2,1,LD1117S50TR_SOT223,
"Y1, Y2",CSTCE16M0V53R0,2,CSTCE16M0V53-R0,
