Designator,Mid X,Mid Y,Rotation,Layer
C1,22.4,33.7,270.0,top
C10,28.3,33.8,270.0,top
C2,18.5,27.4,0.0,top
C3,23.025,16.8,180.0,top
C4,23.8,19.175,90.0,top
C5,37.8,16.8,90.0,top
C6,36.2,18.4,90.0,top
C7,56.9,8.6,270.0,top
C8,60.025,22.2,180.0,top
C9,12.1,22.525,90.0,top
D1,27.1,40.2,180.0,top
D2,28.825,4.1,0.0,top
D3,28.825,6.1,0.0,top
D4,66.9375,26.6,180.0,top
D5,10.5,33.05,270.0,top
J1,5.0,36.62,0.0,top
J2,41.3,40.55,180.0,top
J3,64.3,40.55,180.0,top
J4,55.0,40.55,180.0,top
J5,18.25,40.55,180.0,top
Q1,26.8,43.6,90.0,top
R1,52.3,34.6,90.0,top
R10,39.625,30.8,0.0,top
R2,53.9,34.6,90.0,top
R3,12.1,19.475,90.0,top
R4,32.0,4.1,180.0,top
R5,32.0,6.1,180.0,top
R6,63.475,33.5,180.0,top
R7,54.6,6.2,180.0,top
R8,56.4,28.4,270.0,top
R9,23.4,40.2,180.0,top
U1,30.0,18.0,0.0,top
U2,50.0,14.0,270.0,top
U3,60.2,26.7,90.0,top
U4,16.9,32.1,180.0,top
Y1,21.9,13.9,0.0,top
Y2,46.9,22.425,0.0,top
