Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,0.1u,
D1,SOT-23,1,NUP2105L,
"D2, D3",D_DO-35_SOD27_P7.62mm_Horizontal,2,1S953,
J1,PinSocket_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J10,PinSocket_1x10_P2.54mm_Vertical,1,PWM,
J11,PinSocket_1x08_P2.54mm_Vertical,1,PWM,
J12,PinSocket_1x08_P2.54mm_Vertical,1,Communication,
"J13, J14, J15, J16, J17, J18, J19, J2, J20, J3, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,11,Conn_01x02_Pin,
"J4, J5",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03_Pin,
J7,PinSocket_1x08_P2.54mm_Vertical,1,Power,
"J8, J9",PinSocket_1x08_P2.54mm_Vertical,2,Analog,
"K1, K2",Relay_SPDT_Omron-G5Q-1,2,G5Q-1,
"Q1, Q2, Q3, Q4",TSOT-23,4,MTN2306AN3,
"R1, R11, R12, R3, R4",0805,5,10k,
"R10, R13",0603,2,3.3k,
"R2, R7, R8, R9",0603,4,1M,
R5,0603,1,15k,
R6,0603,1,120,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
Y1,CSTCE16M0V53R0,1,CSTCE16M0V53-R0,
